ID,GameID,Team,Points,PointsAgainst,Mov,ShotsTaken,ShotsMade,ThreesTaken,ThreesMade,FreesTaken,FreesMade,Turnovers,TurnoversForced,Steals,Blocks,OffReb,DefReb,FoulsCommitted,TimesFouled,Top,Win,possessionsFor,OffDiffAve,DefDiffAve,TotShotsAgainst,TotMadeAgainst,ThreesTakenAgainst,ThreesMadeAgainst,FreesTakenAgainst,FreesMadeAgainst,StealsAgainst,BlocksAgainst,TopAgainst,possessionsAgainst,Proccessed
0,68,MinnesotaMinnesota,38,23,15,20,12,3,1,15,11,2,3,2,1,2,13,7,19,661,1,26,222.790697674419,288.194444444444,22,8,5,2,7,5,1,0,542,30,0
1,49,South Carolina,3,0,3,2,1,1,1,0,0,0,1,1,0,0,0,0,0,20,1,1,399.0,500.0,0,0,0,0,0,0,0,0,20,1,0
2,49,Clemson,0,3,-3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20,0,1,500.0,399.0,2,1,1,1,0,0,1,0,20,1,0
3,50,South Carolina,3,0,3,1,1,1,1,0,0,1,1,1,0,0,0,0,0,20,1,1,488.0,500.0,0,0,0,0,0,0,1,0,20,1,0
4,50,Clemson,0,3,-3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,20,0,1,500.0,488.0,1,1,1,1,0,0,1,0,20,1,0
5,67,Wake ForestWake Forest,32,39,-7,30,12,10,3,9,5,5,1,1,1,3,17,9,10,301,0,40,262.30612244898,239.372549019608,31,13,9,4,13,9,3,2,899,39,0
6,67,CaliforniaCalifornia,39,32,7,31,13,9,4,13,9,1,5,3,2,1,15,10,9,899,1,39,239.372549019608,262.30612244898,30,12,10,3,9,5,1,1,301,40,0
7,14,St. Mary's,49,34,15,24,12,12,8,22,17,2,1,0,4,1,19,7,17,824,1,32,244.777777777778,254.177777777778,32,13,12,4,5,4,0,0,376,40,0
8,14,Texas A&M,34,49,-15,32,13,12,4,5,4,1,2,0,0,0,11,17,7,376,0,40,254.177777777778,244.777777777778,24,12,12,8,22,17,0,4,824,32,0
11,68,Minnesota,37,23,14,20,12,3,1,16,12,2,3,2,1,2,13,7,19,661,1,26,222.790697674419,288.194444444444,22,8,5,2,7,5,1,0,542,30,0
12,68,BYU,23,37,-14,22,8,5,2,7,5,3,2,1,0,1,6,19,7,542,0,30,288.194444444444,222.790697674419,20,12,3,1,16,12,2,1,661,26,0
